Entity,Code,Year,Wind (terawatt-hours),Hydro (terawatt-hours),Nuclear (terawatt-hours),Solar (terawatt-hours),Other renewables (terawatt-hours),Coal (terawatt-hours),Oil (terawatt-hours),Natural gas (terawatt-hours)
Africa,,2003,0.541187,82.87260147,12.66299922,0.03390101,2.5774,1599.960609,4684.481495,1568.499774
Africa,,2004,0.769317505,87.40546922,13.36512271,0.03910101,2.939013907,1634.85842,5212.513063,1641.078705
Africa,,2005,0.782410111,89.06573417,11.29265416,0.04420101,2.968882935,1645.393739,5404.720311,1710.640935
Africa,,2006,0.852500606,92.24055302,10.02599942,0.05190101,3.731858627,1634.157564,5530.834937,1851.058651
Africa,,2007,1.016297364,95.34056187,11.31699987,0.063625293,3.10485,1633.504485,5646.26579,1957.03135
Africa,,2008,1.312184131,97.15720925,13.00399966,0.084917202,3.232422,1659.747408,5703.680522,2038.440162
Africa,,2009,1.589881939,99.76113688,12.80599944,0.107869927,3.52372219,1645.727724,5487.11064,1921.140801
Africa,,2010,2.284146434,107.4268326,13.52699988,0.22386475,3.788542064,1706.971788,5664.29015,2023.116361
Africa,,2011,2.537475939,110.452821,12.902,0.460530301,3.891561611,1697.517748,4722.236705,2017.157669
Africa,,2012,2.96169624,110.9523002,12.96743391,0.553427126,4.050949862,1766.913782,5142.921035,2067.526129
Africa,,2013,3.559756302,117.6728464,14.10599837,0.824283141,4.386625848,1771.992948,4762.68022,1983.044179
Africa,,2014,5.157167619,123.7577948,13.79399967,1.826255884,5.503549681,1834.556351,4542.798297,1986.465127
Africa,,2015,8.88708224,120.270852,12.237,3.568277276,7.067919743,1763.678763,4498.884013,2035.514723
Africa,,2016,11.30470018,116.688815,15.913439,4.911321327,7.175974913,1739.535865,4231.912727,2088.393281
Africa,,2017,12.79590884,124.5781629,15.756337,6.610571458,7.491825388,1805.439361,4488.618933,2256.540939
Africa,,2018,14.68593952,132.8407693,11.090427,9.029088999,8.161022886,1812.331335,4520.515736,2365.673234
Algeria,DZA,1965,0,0.3933266,0,0,0,,304.0002025,
Algeria,DZA,1966,0,0.3623908,0,0,0,,391.2619967,
Algeria,DZA,1967,0,0.4065848,0,0,0,,449.4441623,
Algeria,DZA,1968,0,0.5568444,0,0,0,,493.3881905,
Algeria,DZA,1969,0,0.3623908,0,0,0,,516.7882778,
Algeria,DZA,1970,0,0.5833608,0,0,0,,561.8859318,24.380125
Algeria,DZA,1971,0,0.3270356,0,0,0,,427.9567852,25.69875
Algeria,DZA,1972,0,0.4993922,0,0,0,,578.3189753,32.561375
Algeria,DZA,1973,0,0.7557174,0,0,0,,601.255093,43.21625
Algeria,DZA,1974,0,0.4993922,0,0,0,,556.3107383,49.963375
Algeria,DZA,1975,0,0.3270356,0,0,0,,544.3293482,61.523
Algeria,DZA,1976,0,0.3844878,0,0,0,,607.4248695,77.490875
Algeria,DZA,1977,0,0.2695834,0,0,0,,648.4450044,74.1654375
Algeria,DZA,1978,0,0.2563252,0,0,0,,662.1581659,115.01875
Algeria,DZA,1979,0,0.2916804,0,0,0,,675.5451821,188.5345
Algeria,DZA,1980,0,0.2563252,0,0,0,,599.4387565,154.0975
Algeria,DZA,1981,0,0.3623908,0,0,0,,534.1273482,178.64843
Algeria,DZA,1982,0,0.4772952,0,0,0,,531.3829025,233.10009
Algeria,DZA,1983,0,0.2342282,0,0,0,,522.8083115,333.79263
Algeria,DZA,1984,0,0.4551982,0,0,0,,567.3807406,339.75882
Algeria,DZA,1985,0,0.646,0,0,0,,547.3196424,373.38115
Algeria,DZA,1986,0,0.25,0,0,0,,563.8136629,381.89431
Algeria,DZA,1987,0,0.499,0,0,0,,583.7999057,431.0078
Algeria,DZA,1988,0,0.183,0,0,0,,611.4503845,450.58109
Algeria,DZA,1989,0,0.226,0,0,0,,633.6584115,485.83162
Algeria,DZA,1990,0,0.135,0,0,0,,678.6743478,516.56971
Algeria,DZA,1991,0,0.293,0,0,0,,682.6080562,557.03048
Algeria,DZA,1992,0,0.199,0,0,0,,657.111405,580.01136
Algeria,DZA,1993,0,0.353,0,0,0,,655.0389508,587.46619
Algeria,DZA,1994,0,0.166,0,0,0,,652.1086888,540.10883
Algeria,DZA,1995,0,0.193,0,0,0,,649.0848888,614.91299
Algeria,DZA,1996,0,0.135,0,0,0,,686.3132804,652.51278
Algeria,DZA,1997,0,0.075,0,0,0,,716.0245029,748.58821
Algeria,DZA,1998,0,0.215,0,0,0,,713.9167778,801.62101
Algeria,DZA,1999,0,0.203,0,0,0,,680.685979,901.06914
Algeria,DZA,2000,0,0.054,0,0,0,,776.73281,918.8863
Algeria,DZA,2001,0,0.069,0,0,0,,764.68413,864.72539
Algeria,DZA,2002,0,0.057,0,0,0,,824.49722,889.41588
Algeria,DZA,2003,0,0.265,0,0,0,,918.82815,938.57589
Algeria,DZA,2004,0,0.251,0,0,0,,971.69813,920.54939
Algeria,DZA,2005,0,0.5553,0,0,0,,1005.270102,849.1175
Algeria,DZA,2006,0,0.2176,0,0,0,,1002.52926,812.994875
Algeria,DZA,2007,0,0.226,0,0,0,,1005.78566,816.459875
Algeria,DZA,2008,0,0.283,0,0,0,,985.7705233,826.007875
Algeria,DZA,2009,0,0.342,0,0,0,,898.23142,765.66875
Algeria,DZA,2010,0,0.173,0,0.0091,0,,858.00325,773.9655
Algeria,DZA,2011,0,0.378,0,0.01811875,0,,833.58025,795.9875
Algeria,DZA,2012,0,0.389,0,0.026723014,0,,781.67556,784.4375
Algeria,DZA,2013,0,0.099,0,0.0286,0,,753.43792,793.38875
Algeria,DZA,2014,0.001,0.193,0,0.06,0,,799.80673,801.724
Algeria,DZA,2015,0.019,0.145,0,0.058,0,,781.82675,814.111375
Algeria,DZA,2016,0.019052055,0.072,0,0.245,0,,795.68971,913.922625
Algeria,DZA,2017,0.019,0.056,0,0.504,0,,775.11624,929.765375
Algeria,DZA,2018,0.01,0.117,0,0.603,0,,759.33433,923.0375
Angola,AGO,1965,,,,,,,7.61765,
Angola,AGO,1966,,,,,,,7.33853,
Angola,AGO,1967,,,,,,,6.24531,
Angola,AGO,1968,,,,,,,8.7225,
Angola,AGO,1969,,,,,,,28.58654,
Angola,AGO,1970,,,,,,,58.90595,
Angola,AGO,1971,,,,,,,66.53523,
Angola,AGO,1972,,,,,,,82.07291,
Angola,AGO,1973,,,,,,,95.07525,
Angola,AGO,1974,,,,,,,99.33183,
Angola,AGO,1975,,,,,,,90.60933,
Angola,AGO,1976,,,,,,,87.96932,
Angola,AGO,1977,,,,,,,82.13106,
Angola,AGO,1978,,,,,,,75.23447,
Angola,AGO,1979,,,,,,,83.736,
Angola,AGO,1980,,,,,,,86.38764,
Angola,AGO,1981,,,,,,,83.24754,
Angola,AGO,1982,,,,,,,74.5483,
Angola,AGO,1983,,,,,,,102.2277,
Angola,AGO,1984,,,,,,,117.16062,
Angola,AGO,1985,,,,,,,133.18676,
Angola,AGO,1986,,,,,,,161.95938,
Angola,AGO,1987,,,,,,,203.59478,
Angola,AGO,1988,,,,,,,259.5816,
Angola,AGO,1989,,,,,,,263.32646,
Angola,AGO,1990,,,,,,,271.9094,
Angola,AGO,1991,,,,,,,285.09782,
Angola,AGO,1992,,,,,,,315.78939,
Angola,AGO,1993,,,,,,,288.5403,
Angola,AGO,1994,,,,,,,318.94112,
Angola,AGO,1995,,,,,,,362.54199,
Angola,AGO,1996,,,,,,,411.28332,
Angola,AGO,1997,,,,,,,424.495,
Angola,AGO,1998,,,,,,,418.68,
Angola,AGO,1999,,,,,,,426.821,
Angola,AGO,2000,,,,,,,428.5655,
Angola,AGO,2001,,,,,,,425.0765,
Angola,AGO,2002,,,,,,,518.698,
Angola,AGO,2003,,,,,,,498.1446353,
Angola,AGO,2004,,,,,,,634.8000032,
Angola,AGO,2005,,,,,,,726.1116509,
Angola,AGO,2006,,,,,,,798.7351764,
Angola,AGO,2007,,,,,,,944.1738358,
Angola,AGO,2008,,,,,,,1073.33979,
Angola,AGO,2009,,,,,,,1000.608126,
Angola,AGO,2010,,,,,,,1034.238267,
Angola,AGO,2011,,,,,,,954.0292642,
Angola,AGO,2012,,,,,,,991.9908145,
Angola,AGO,2013,,,,,,,990.9448441,
Angola,AGO,2014,,,,,,,968.5163021,
Angola,AGO,2015,,,,,,,1025.331721,
Angola,AGO,2016,,,,,,,997.482266,
Angola,AGO,2017,,,,,,,952.007244,
Angola,AGO,2018,,,,,,,867.8294335,
Argentina,ARG,1965,0,1.2109156,0,0,0,,160.0841428,
Argentina,ARG,1966,0,1.2285932,0,0,0,,170.309319,
Argentina,ARG,1967,0,1.2551096,0,0,0,,185.6412683,
Argentina,ARG,1968,0,1.480499,0,0,0,,203.3806276,
Argentina,ARG,1969,0,1.32582,0,0,0,,210.5816028,
Argentina,ARG,1970,0,1.5158542,0,0,0.047540991,,232.6060155,58.5445
Argentina,ARG,1971,0,1.524693,0,0,0.049864614,,250.8691259,63.2659875
Argentina,ARG,1972,0,1.4849184,0,0,0.064353152,,258.395741,60.1394
Argentina,ARG,1973,0,2.960998,0,0,0.049042434,,251.2216352,65.48815
Argentina,ARG,1974,0,4.971825,1.0253008,0,0.050067671,,245.9135428,70.4868
Argentina,ARG,1975,0,5.1353428,2.2892492,0,0.054922642,,235.6302166,74.8047
Argentina,ARG,1976,0,4.9408892,2.3467014,0,0.050202792,,237.4164241,71.32315
Argentina,ARG,1977,0,5.7054454,1.6175004,0,0.053855108,,256.580659,73.61825
Argentina,ARG,1978,0,7.6632396,2.8637712,0,0.054136662,,269.9306959,75.95225
Argentina,ARG,1979,0,10.5358496,2.6604788,0,0.084393763,,282.3543431,70.31175
Argentina,ARG,1980,0,14.9729272,2.3113462,0,0.086251568,,293.855611,81.6462375
Argentina,ARG,1981,0,14.5000514,2.784222,0,0.0747225,,299.3140914,84.9527375
Argentina,ARG,1982,0,17.4964046,1.8605674,0,0.095912465,,297.3943393,95.20775
Argentina,ARG,1983,0,18.207928,3.3675828,0,0.137314784,,298.5108193,127.7865
Argentina,ARG,1984,0,19.6486524,4.5873372,0,0.097392792,,292.3986528,131.093
Argentina,ARG,1985,0,20.6562756,5.767317,0,0.103321614,,280.9647586,135.08025
Argentina,ARG,1986,0,21.0085052,5.7098648,0,0.107078921,,265.9624597,150.83475
Argentina,ARG,1987,0,21.8132882,6.4655822,0,0.108156823,,262.5191776,147.33375
Argentina,ARG,1988,0,15.5497744,5.7982528,0,0.121116047,,275.8607928,174.661
Argentina,ARG,1989,0,12.9769104,5.038116,0,0.119376908,,281.794499,184.67775
Argentina,ARG,1990,0,17.9031534,7.2787518,0,0.106763284,,295.8270966,173.494
Argentina,ARG,1991,0,16.1993292,7.756047,0,0.099600404,,301.00766,193.81925
Argentina,ARG,1992,0,19.77905051,7.0842982,0,0.101865495,,337.7404134,195.37525
Argentina,ARG,1993,0,23.55547475,7.7516276,0,0.107438403,,361.3188348,209.282
Argentina,ARG,1994,0,27.97278788,8.2377616,0,0.119290038,,401.36293,216.57575
Argentina,ARG,1995,0,28.45812121,7.0666206,0,0.115592457,,435.6241079,243.22225
Argentina,ARG,1996,0.009618,25.94518182,7.4599472,0,0.351397492,,474.69008,281.34425
Argentina,ARG,1997,0.014592,33.0299596,7.9637588,0,0.44563205,,504.5743676,266.2705
Argentina,ARG,1998,0.032541,32.42178788,7.4555278,0.000017,0.463881203,,512.0464421,287.76275
Argentina,ARG,1999,0.034781,26.53007071,7.1063952,0.000026,0.650455143,,484.8414924,336.19325
Argentina,ARG,2000,0.034758,34.0340101,6.1783212,0.000036,0.67501431,,480.8711048,363.81225
Argentina,ARG,2001,0.049361,41.90326263,7.0577818,0.000043,0.60932585,,510.8962582,361.1865
Argentina,ARG,2002,0.073405,41.46705051,5.8203498,0.000047,0.850248638,,503.2772494,351.16975
Argentina,ARG,2003,0.077954,39.08008081,7.5660128,0.000065,1.014079858,,501.183471,399.114
Argentina,ARG,2004,0.072446,35.40287879,7.8797902,0.00007,0.90029509,,477.1304695,436.458
Argentina,ARG,2005,0.071719665,39.35009091,6.8677476,0.000081,1.074072901,,457.8623616,443.75175
Argentina,ARG,2006,0.06964,43.624,7.721,0.00009,1.567410315,,458.6077413,448.3225
Argentina,ARG,2007,0.061593,37.741,7.254,0.0001089,1.575708696,,444.4342711,435.97175
Argentina,ARG,2008,0.041951078,37.199,7.394,0.0001437,1.693536384,,439.6697565,428.4835
Argentina,ARG,2009,0.036831529,40.783,8.183,0.000076084,1.728756162,,395.9277817,403.011912
Argentina,ARG,2010,0.025351606,40.543,7.21,0.00008589,2.01325481,,387.0292603,389.9699576
Argentina,ARG,2011,0.02659055,39.641,6.4,0.001614,2.190205828,,362.6854727,377.178451
Argentina,ARG,2012,0.369861999,36.876,6.402,0.008172967,2.45382161,,358.7147049,366.912033
Argentina,ARG,2013,0.453354876,40.7,6.207,0.015074079,2.45735005,,351.2891538,345.5585357
Argentina,ARG,2014,0.619491,40.864,5.514,0.015944,2.302025252,,346.6180954,344.8587955
Argentina,ARG,2015,0.593334963,41.7709,7.039,0.014683,2.378258598,,349.6635668,354.9114425
Argentina,ARG,2016,0.547359,38.25439327,8.285,0.014273,1.963408643,,333.2024487,372.8235641
Argentina,ARG,2017,0.611567,41.54297858,6.088,0.016417,2.383654508,,317.0348298,371.4988828
Argentina,ARG,2018,1.412699784,41.64945459,6.872602797,0.108128528,2.29693941,,320.5482209,394.2538985
Asia Pacific,,1965,0,150.5575963,0.0265164,0,1.644,,522.2455403,
Asia Pacific,,1966,0,163.3877813,0.3712296,0,1.643,,581.6402987,
Asia Pacific,,1967,0,154.0227975,0.8485248,0,1.424,,616.696426,
Asia Pacific,,1968,0,164.4468621,0.7203622,0,1.577,,721.6399487,
Asia Pacific,,1969,0,175.3833213,1.6616944,0,1.608,,830.6772727,
Asia Pacific,,1970,0,179.1186721,4.6138536,0,1.776704,,1148.65493,151.016517
Asia Pacific,,1971,0,194.6919119,8.1184378,0,1.754611,,1379.343175,178.6078432
Asia Pacific,,1972,0,203.6090225,9.9082948,0,1.785591,,1624.507543,207.6673902
Asia Pacific,,1973,0,197.1790323,11.8307338,0,1.834998,,1939.576548,257.7179505
Asia Pacific,,1974,0,215.1633642,20.9126008,0,2.496269105,,2067.801381,313.3980765
Asia Pacific,,1975,0,229.4817131,24.4657984,0,2.654334368,,2198.184467,354.8808456
Asia Pacific,,1976,0,232.7120742,39.9248596,0,2.587064579,,2508.017714,409.4244192
Asia Pacific,,1977,0,225.8236473,30.521132,0,2.622443474,,2738.414716,498.8353903
Asia Pacific,,1978,0,235.1167425,59.467218,0,2.917471368,,2861.917028,593.7519421
Asia Pacific,,1979,0,255.1727537,73.8313682,0,3.712920421,,2935.64265,675.0701722
Asia Pacific,,1980,0,271.6225906,96.8281402,0,5.173433158,,2847.525268,718.8920871
Asia Pacific,,1981,0,288.8969017,101.8166352,0,7.071965421,5790.295535,2814.319377,722.3044667
Asia Pacific,,1982,0,279.799085,124.7567276,0,15.95189426,6083.166322,2756.463501,752.1041377
Asia Pacific,,1983,0,300.6471275,140.0066126,0,18.06780642,6436.264923,2959.898312,847.4015498
Asia Pacific,,1984,0,297.1641353,167.4913448,0,19.74213742,6967.350469,3254.761726,986.2591762
Asia Pacific,,1985,0,320.0130242,209.9467762,0,20.79148682,7707.272316,3364.319291,1068.93438
Asia Pacific,,1986,0,328.1258904,226.16808,0,21.68988971,7976.55389,3487.041293,1179.928309
Asia Pacific,,1987,0,326.8457274,266.6734152,0,22.00974974,8294.24468,3518.656705,1255.619746
Asia Pacific,,1988,0,361.7550222,250.9199886,0,23.82670437,8634.462073,3556.450909,1340.684902
Asia Pacific,,1989,0,387.9415512,265.5964838,0,25.92936279,9258.498215,3660.277677,1404.310558
Asia Pacific,,1990,0.032323232,401.670607,287.1385048,0.004,21.94773818,9526.47697,3789.994852,1492.348649
Asia Pacific,,1991,0.122000909,413.5662257,306.127962,0.00945,22.40252374,9718.788496,3897.190546,1623.587697
Asia Pacific,,1992,0.22047404,403.9596354,314.3659846,0.0276,22.56911516,10055.09472,3891.068995,1717.13192
Asia Pacific,,1993,0.311836667,443.311061,348.4300346,0.0431,22.51843108,10316.91678,3915.132484,1818.400713
Asia Pacific,,1994,0.583588081,446.1145361,372.0633338,0.0534,25.9677874,10898.87557,4024.282984,1982.125706
Asia Pacific,,1995,1.121601313,486.7277748,410.202606,0.070660101,30.36785051,11814.21483,4095.588514,2082.973356
Asia Pacific,,1996,0.991205066,476.744038,431.282462,0.098160606,30.84332308,12230.7203,4231.469898,2274.217032
Asia Pacific,,1997,1.213950041,479.22672,459.4551486,0.147015452,34.87781114,12403.70981,4273.547061,2421.341967
Asia Pacific,,1998,1.489550167,510.2994928,478.3540405,0.202918856,37.53508223,12133.07961,4254.91924,2461.11876
Asia Pacific,,1999,2.053249006,502.8669571,486.4727646,0.286266606,41.21565303,12468.80256,4213.676319,2615.137032
Asia Pacific,,2000,2.56397698,524.4334287,500.0429625,0.428429426,44.06817879,12974.38218,4437.80781,2774.397968
Asia Pacific,,2001,3.517432418,573.088155,506.6062594,0.608465426,44.63994787,13776.77546,4392.46658,2854.726439
Asia Pacific,,2002,4.067036232,580.68228,519.2957985,0.829254425,46.59688348,14594.90654,4404.716005,3040.657851
Asia Pacific,,2003,5.340847638,595.3133997,462.0373046,1.116542608,48.73792753,16537.80322,4359.414247,3232.419841
Asia Pacific,,2004,9.186654307,683.7196615,525.719639,1.464055013,52.32511766,18865.8049,4406.592576,3443.59601
Asia Pacific,,2005,12.01917866,727.4188056,553.3276552,1.852813527,60.45249942,20866.80789,4449.746052,3720.124506
Asia Pacific,,2006,18.56975203,800.6490449,568.1327138,2.29127578,64.75126792,22348.13477,4428.041461,3895.026914
Asia Pacific,,2007,24.60312478,852.3022156,544.963744,2.748580976,71.3383643,24022.07973,4438.701331,4070.373402
Asia Pacific,,2008,36.08948793,996.6766673,529.0536846,3.330602555,79.18696054,25073.03233,4516.92807,4262.873262
Asia Pacific,,2009,54.84258862,965.8444154,553.6646388,4.383497988,88.34787395,26059.05576,4469.594281,4479.142944
Asia Pacific,,2010,76.7212709,1094.879108,581.9473421,6.738748497,98.05388604,27943.13049,4692.608119,4943.269983
Asia Pacific,,2011,109.8027872,1115.873126,482.2225328,12.15439924,104.8204931,30658.81399,4605.137783,4990.583452
Asia Pacific,,2012,140.7285319,1279.091747,344.5571388,17.5830281,114.3123926,31365.07134,4663.484331,5083.933693
Asia Pacific,,2013,191.5194002,1365.03665,345.171474,32.33890709,126.101182,32453.70858,4588.801862,5188.94148
Asia Pacific,,2014,210.6825434,1510.900778,370.668226,62.87474908,144.2722126,32350.07021,4602.666801,5398.243827
Asia Pacific,,2015,243.1621554,1565.088356,419.6614626,99.19372578,161.5483912,32050.64093,4658.595985,5641.211822
Asia Pacific,,2016,307.2584778,1626.950731,468.3303926,141.7552294,172.6285952,30647.57582,4464.268527,5816.194696
Asia Pacific,,2017,376.7400265,1649.447194,493.8297181,227.1966379,192.6455598,31285.68496,4292.759411,6075.193629
Asia Pacific,,2018,460.469456,1718.508325,553.584622,314.2085529,221.3015173,33181.36631,4205.406644,6317.363972
Australia,AUS,1965,0,7.689756,0,0,0.296,,4.026375339,
Australia,AUS,1966,0,7.3450428,0,0,0.284,,5.176768293,
Australia,AUS,1967,0,7.6057874,0,0,0.29,,12.07912602,
Australia,AUS,1968,0,7.9505006,0,0,0.282,,22.49412195,
Australia,AUS,1969,0,8.684121,0,0,0.281,,25.88384146,
Australia,AUS,1970,0,10.170687,0,0,0.261,,101.2345799,17.30397462
Australia,AUS,1971,0,11.5074428,0,0,0.263,,177.420345,25.82667936
Australia,AUS,1972,0,11.5533144,0,0,0.28,,189.3364652,37.07426286
Australia,AUS,1973,0,12.2858392,0,0,0.338,,237.1872259,47.06879993
Australia,AUS,1974,0,13.8739202,0,0,0.429,,234.6771874,53.7019902
Australia,AUS,1975,0,14.8878016,0,0,0.489,,251.4620157,57.66997059
Australia,AUS,1976,0,14.1538588,0,0,0.484,,257.4990247,68.07721739
Australia,AUS,1977,0,13.5439502,0,0,0.429,,272.4299107,77.76843766
Australia,AUS,1978,0,14.6753494,0,0,0.405,,269.709628,83.72538065
Australia,AUS,1979,0,14.2460556,0,0,0.418,,270.7033295,96.37518278
Australia,AUS,1980,0,13.4665978,0,0,0.385,,253.984691,110.6658791
Australia,AUS,1981,0,13.8663438,0,0,0.404,788.5712012,247.3820876,119.9443896
Australia,AUS,1982,0,12.770334,0,0,0.516,804.9543043,243.9309087,116.9808353
Australia,AUS,1983,0,12.123648,0,0,0.431,838.7407188,237.447056,127.0748205
Australia,AUS,1984,0,13.1259488,0,0,0.441,880.917322,307.9994052,125.3172638
Australia,AUS,1985,0,13.9405106,0,0,0.456,1074.34567,356.8410825,133.9526234
Australia,AUS,1986,0,14.0257988,0,0,0.46,1142.859531,318.8083821,146.3292813
Australia,AUS,1987,0,13.613796,0,0,0.47,1193.667546,338.8720361,149.3945909
Australia,AUS,1988,0,14.3344436,0,0,0.731,1173.293512,321.6083179,152.9933899
Australia,AUS,1989,0,14.253669,0,0,0.81,1274.678,303.3327608,177.0756397
Australia,AUS,1990,0,14.7595,0,0,0.7595,1334.601213,352.0992431,206.1114705
Australia,AUS,1991,0,15.6535,0,0.00545,0.7195,1384.424275,332.7697279,215.7649999
Australia,AUS,1992,0,15.9415,0,0.0121,0.67,1477.235254,327.9468497,233.3359529
Australia,AUS,1993,0.002,16.387,0,0.0146,0.67,1484.100065,305.8865226,243.839028
Australia,AUS,1994,0.0055,16.15,0,0.0174,0.6965,1516.910352,329.3391133,279.9121664
Australia,AUS,1995,0.007,15.631,0,0.02115,0.8255,1591.817989,310.1140088,295.9596835
Australia,AUS,1996,0.007,15.9685,0,0.0256,0.9465,1640.682257,326.4059734,296.3370295
Australia,AUS,1997,0.0075,15.9525,0,0.03065,0.997,1789.114289,346.4353834,296.3764706
Australia,AUS,1998,0.018,15.798,0,0.0356,1.081,1832.101785,328.025512,302.7370791
Australia,AUS,1999,0.043,16.2815,0,0.0406,1.1335,1931.917921,319.4973058,307.1253309
Australia,AUS,2000,0.134,16.4665,0,0.04675,0.8895,1996.819784,431.3765421,311.9233042
Australia,AUS,2001,0.287,16.1235,0,0.05415,0.7975,2157.920965,399.1474766,326.4131784
Australia,AUS,2002,0.53355,16.095,0,0.0583,1.2668,2224.046331,396.6678127,330.011597
Australia,AUS,2003,0.70405,16.21055,0,0.0632,1.6918,2299.047704,343.3505031,337.4522585
Australia,AUS,2004,0.795,15.68665,0,0.07295,2.81525,2388.831037,299.859212,359.3031261
Australia,AUS,2005,1.29905,15.4657,0,0.08405,3.871,2501.288445,294.5562402,382.352797
Australia,AUS,2006,2.1621,14.9451,0,0.0975,3.9325,2556.840468,273.4156246,406.8222719
Australia,AUS,2007,2.8521,13.04895,0,0.11375,4.275,2640.855274,284.6232159,427.5118479
Australia,AUS,2008,3.45845,11.81515,0,0.1392,3.6961,2720.621501,280.5913031,416.8290344
Australia,AUS,2009,4.43775,12.64205,0,0.29024203,2.7868,2822.833886,260.2149297,466.9759282
Australia,AUS,2010,4.985,13.746,0,0.97764828,2.44155,2914.789465,285.2874173,540.1061735
Australia,AUS,2011,6.432,19.634,0,2.04454657,2.57395,2850.813367,250.3698704,556.5067133
Australia,AUS,2012,7.725,17.083,0,2.412,3.09785,3091.909192,248.6808649,595.2609435
Australia,AUS,2013,9.259,19.144,0,3.8474,3.33165,3323.660817,207.1204557,618.0014789
Australia,AUS,2014,9.777,14.532,0,4.952,3.546362,3557.161146,222.0796811,666.4412011
Australia,AUS,2015,11.802,13.949,0,5.958,3.6914715,3554.696945,197.5434732,760.3894219
Australia,AUS,2016,13.026391,17.683967,0,7.474595,3.648006,3566.419533,181.5344419,964.1922551
Australia,AUS,2017,13.19393,13.534527,0,8.95511,3.543324,3477.129041,173.82706,1128.205626
Australia,AUS,2018,16.266484,17.26791,0,12.081099,3.539346,3501.678374,176.4120453,1301.02875
Austria,AUT,1965,0,16.083,0,0,0,,,
Austria,AUT,1966,0,17.331,0,0,0,,,
Austria,AUT,1967,0,17.698,0,0,0,,,
Austria,AUT,1968,0,18.185,0,0,0,,,
Austria,AUT,1969,0,16.718,0,0,0,,,
Austria,AUT,1970,0,21.2897,0,0,0,,,
Austria,AUT,1971,0,16.8201,0,0,0,,,
Austria,AUT,1972,0,17.2876,0,0,0,,,
