Entity,Code,Year,Energy use (kg of oil equivalent per capita) (kWh)
Angola,AGO,1991,5580.905580029584
Angola,AGO,1992,5432.479764380107
Angola,AGO,1993,5443.465144861871
Angola,AGO,1994,5343.44572666977
Angola,AGO,1995,5179.143807194817
Angola,AGO,1996,5179.393426118171
Angola,AGO,1997,5149.546809688478
Angola,AGO,1998,4998.953650202482
Angola,AGO,1999,5104.06188843147
Angola,AGO,2000,5086.2368228209025
Angola,AGO,2001,5140.464401841201
Angola,AGO,2002,5197.491449354049
Angola,AGO,2003,5414.233775077573
Angola,AGO,2004,5374.89225375809
Angola,AGO,2005,5011.774831119146
Angola,AGO,2006,5306.151601792068
Angola,AGO,2007,5461.682943459445
Angola,AGO,2008,5704.938570972938
Angola,AGO,2009,5982.60404477305
Angola,AGO,2010,6055.451601944458
Angola,AGO,2011,6068.8345073293995
Angola,AGO,2012,6427.004701517959
Angola,AGO,2013,6211.804702531007
Angola,AGO,2014,6338.820907483547
Antigua and Barbuda,ATG,1990,17232.877002518864
Antigua and Barbuda,ATG,2004,17789.52377715084
Antigua and Barbuda,ATG,2005,17851.61283094129
Antigua and Barbuda,ATG,2006,18417.1825339697
Antigua and Barbuda,ATG,2007,18581.324345323388
Arab World,,1971,4723.731409151305
Arab World,,1972,4773.907215639791
Arab World,,1973,5123.271708237296
Arab World,,1974,5316.951594505817
Arab World,,1975,5598.66687026151
Arab World,,1976,6072.345727644953
Arab World,,1977,6494.082094183548
Arab World,,1978,7253.583521492431
Arab World,,1979,8429.791614432213
Arab World,,1980,9169.127359123753
Arab World,,1981,10238.067477681701
Arab World,,1982,11058.122065876694
Arab World,,1983,11556.96878782184
Arab World,,1984,11469.885532503313
Arab World,,1985,11758.226798539006
Arab World,,1986,11945.175777244931
Arab World,,1987,12571.100269792752
Arab World,,1988,13273.265391010607
Arab World,,1989,13581.195783658228
Arab World,,1990,12451.306967867033
Arab World,,1991,12603.344021039744
Arab World,,1992,13237.140367314489
Arab World,,1993,13633.017710270013
Arab World,,1994,13997.776906801293
Arab World,,1995,14623.305164263238
Arab World,,1996,14880.642968416856
Arab World,,1997,15116.778438390646
Arab World,,1998,15011.623727310445
Arab World,,1999,14840.033143047067
Arab World,,2000,14872.918651743568
Arab World,,2001,15648.892886647298
Arab World,,2002,16067.217686753173
Arab World,,2003,15976.66375863232
Arab World,,2004,16545.00878416306
Arab World,,2005,17182.980813737857
Arab World,,2006,17954.55279471058
Arab World,,2007,18319.117010553746
Arab World,,2008,19293.76261944691
Arab World,,2009,19824.64094941952
Arab World,,2010,20521.465631554365
Arab World,,2011,20123.893243754752
Arab World,,2012,21401.24774294519
Arab World,,2013,20898.458209243432
Arab World,,2014,22716.724088266255
Argentina,ARG,1971,16060.115854844418
Argentina,ARG,1972,16047.294075454827
Argentina,ARG,1973,16415.70756298197
Argentina,ARG,1974,16464.392751414234
Argentina,ARG,1975,16032.5015273157
Argentina,ARG,1976,16337.181764488878
Argentina,ARG,1977,16521.203103290623
Argentina,ARG,1978,16595.07099286553
Argentina,ARG,1979,17265.50052061554
Argentina,ARG,1980,17300.9866249378
Argentina,ARG,1981,16636.018177815393
Argentina,ARG,1982,16474.36046274008
Argentina,ARG,1983,16513.787823541294
Argentina,ARG,1984,16838.144567423507
Argentina,ARG,1985,15824.538764188144
Argentina,ARG,1986,16532.591370117178
Argentina,ARG,1987,17178.015042740404
Argentina,ARG,1988,17501.046032055438
Argentina,ARG,1989,16764.43874654757
Argentina,ARG,1990,16367.907902657005
Argentina,ARG,1991,16636.88923705842
Argentina,ARG,1992,17256.354851297492
Argentina,ARG,1993,17075.40761539771
Argentina,ARG,1994,17929.47700243493
Argentina,ARG,1995,17960.857631362167
Argentina,ARG,1996,18400.26729093728
Argentina,ARG,1997,18769.877835469513
Argentina,ARG,1998,19193.497637106924
Argentina,ARG,1999,19305.71657692841
Argentina,ARG,2000,19318.79118267495
Argentina,ARG,2001,18174.042365894606
Argentina,ARG,2002,17468.692567070968
Argentina,ARG,2003,18486.4093085403
Argentina,ARG,2004,19976.275600655365
Argentina,ARG,2005,19882.326456627612
Argentina,ARG,2006,21404.322341450992
Argentina,ARG,2007,21458.491089517058
Argentina,ARG,2008,22366.116016563567
Argentina,ARG,2009,21525.519632920164
Argentina,ARG,2010,22193.30291666558
Argentina,ARG,2011,22486.872865583642
Argentina,ARG,2012,22330.54155596236
Argentina,ARG,2013,22695.240845864253
Argentina,ARG,2014,23436.625278564563
Armenia,ARM,1990,25336.505731078178
Armenia,ARM,1991,26957.39500823198
Armenia,ARM,1992,13953.382007720384
Armenia,ARM,1993,7582.047986707498
Armenia,ARM,1994,4882.534434137522
Armenia,ARM,1995,5944.9442956328585
Armenia,ARM,1996,6537.943763286264
Armenia,ARM,1997,6911.129892380865
Armenia,ARM,1998,7094.261690799062
Armenia,ARM,1999,6902.89598924188
Armenia,ARM,2000,7632.880373522441
Armenia,ARM,2001,7646.493736590997
Armenia,ARM,2002,7192.820369313793
Armenia,ARM,2003,7635.200443633555
Armenia,ARM,2004,8119.010605169876
Armenia,ARM,2005,9800.605059808624
Armenia,ARM,2006,10057.935338854153
Armenia,ARM,2007,11311.955509884567
Armenia,ARM,2008,12013.301081073687
Armenia,ARM,2009,10508.245943341091
Armenia,ARM,2010,10037.019852911282
Armenia,ARM,2011,10982.843411470583
Armenia,ARM,2012,11987.831936464572
Armenia,ARM,2013,11657.540526053352
Armenia,ARM,2014,11840.168524750407
Australia,AUS,1960,35629.13616699578
Australia,AUS,1961,36236.60378517597
Australia,AUS,1962,36901.6976801341
Australia,AUS,1963,38193.5126520548
Australia,AUS,1964,38953.686759201206
Australia,AUS,1965,40277.19716982784
Australia,AUS,1966,41246.23670242899
Australia,AUS,1967,42947.35645647941
Australia,AUS,1968,43770.18436089598
Australia,AUS,1969,44111.831294952324
Australia,AUS,1970,47257.47422883191
Australia,AUS,1971,46399.393924402866
Australia,AUS,1972,46929.44978523186
Australia,AUS,1973,49593.47435500742
Australia,AUS,1974,49941.09971580563
Australia,AUS,1975,50542.48491758442
Australia,AUS,1976,51238.325725076604
Australia,AUS,1977,54326.00568418828
Australia,AUS,1978,53842.462812369384
Australia,AUS,1979,54473.21243971342
Australia,AUS,1980,55096.9160209638
Australia,AUS,1981,54599.08682588592
Australia,AUS,1982,56027.40316774275
Australia,AUS,1983,52976.350345500716
Australia,AUS,1984,54099.41555198142
Australia,AUS,1985,53532.384444091906
Australia,AUS,1986,53774.085442990596
Australia,AUS,1987,55502.66850386439
Australia,AUS,1988,54694.047878685284
Australia,AUS,1989,58162.829077457434
Australia,AUS,1990,58865.34337566142
Australia,AUS,1991,57310.09989065029
Australia,AUS,1992,57675.66950271511
Australia,AUS,1993,59865.851242429366
Australia,AUS,1994,59194.245682441884
Australia,AUS,1995,59652.87117640552
Australia,AUS,1996,62727.34278029601
Australia,AUS,1997,63611.447874385645
Australia,AUS,1998,64588.989808134276
Australia,AUS,1999,65248.308988692865
Australia,AUS,2000,65640.47537618126
Australia,AUS,2001,63348.298476793934
Australia,AUS,2002,64774.9247427664
Australia,AUS,2003,64764.73625963786
Australia,AUS,2004,65105.76551367785
Australia,AUS,2005,64710.333778708264
Australia,AUS,2006,66399.67848670637
Australia,AUS,2007,68248.87673951875
Australia,AUS,2008,69369.06297084126
Australia,AUS,2009,68181.47910675511
Australia,AUS,2010,67373.93937930491
Australia,AUS,2011,66817.05036440429
Australia,AUS,2012,64814.900674618795
Australia,AUS,2013,63548.55995582112
Australia,AUS,2014,61967.245025535565
Australia,AUS,2015,63683.75927265116
Austria,AUT,1960,17983.020872960024
Austria,AUT,1961,18073.425956200826
Austria,AUT,1962,19490.41021399567
Austria,AUT,1963,21213.06446755631
Austria,AUT,1964,21574.640356233554
Austria,AUT,1965,21536.94065058616
Austria,AUT,1966,22129.057022976842
Austria,AUT,1967,22332.067004762688
Austria,AUT,1968,23792.981069268968
Austria,AUT,1969,25372.383752035174
Austria,AUT,1970,28123.783801338333
Austria,AUT,1971,29174.09828861663
Austria,AUT,1972,30555.760625943036
Austria,AUT,1973,32923.91130901648
Austria,AUT,1974,31754.98610613609
Austria,AUT,1975,30875.890723235312
Austria,AUT,1976,33342.92995396881
Austria,AUT,1977,32534.01695728173
Austria,AUT,1978,33645.84934223099
Austria,AUT,1979,36505.59473867212
Austria,AUT,1980,35669.34862922819
Austria,AUT,1981,33692.21929760817
Austria,AUT,1982,32915.479312502815
Austria,AUT,1983,33068.80675781652
Austria,AUT,1984,34351.39318018248
Austria,AUT,1985,35490.073830946145
Austria,AUT,1986,35606.27846807985
Austria,AUT,1987,36922.28890925529
Austria,AUT,1988,37269.05818174766
Austria,AUT,1989,36506.377967409426
Austria,AUT,1990,37682.49510865667
Austria,AUT,1991,39718.46294809301
Austria,AUT,1992,37746.23584295763
Austria,AUT,1993,37864.77611217212
Austria,AUT,1994,37617.15341682163
Austria,AUT,1995,39235.00946620141
Austria,AUT,1996,41640.293883025995
Austria,AUT,1997,41291.200507125875
Austria,AUT,1998,41944.87870996714
Austria,AUT,1999,41772.744091705965
Austria,AUT,2000,41524.901350123124
Austria,AUT,2001,43710.861530411814
Austria,AUT,2002,43887.569598551396
Austria,AUT,2003,46213.25091920467
Austria,AUT,2004,46608.03798620793
Austria,AUT,2005,47515.15178062154
Austria,AUT,2006,47436.586183872336
Austria,AUT,2007,46747.83367631102
Austria,AUT,2008,46893.8861966646
Austria,AUT,2009,44172.498087392734
Austria,AUT,2010,47115.40971475249
Austria,AUT,2011,45611.70298474323
Austria,AUT,2012,45203.10872336632
Austria,AUT,2013,45578.4865898734
Austria,AUT,2014,43767.50350675768
Austria,AUT,2015,44197.48225872493
Azerbaijan,AZE,1990,36814.705704707376
Azerbaijan,AZE,1991,35911.98285105214
Azerbaijan,AZE,1992,28663.267751286912
Azerbaijan,AZE,1993,25298.558226817848
Azerbaijan,AZE,1994,22651.657770172467
Azerbaijan,AZE,1995,21040.464818477558
Azerbaijan,AZE,1996,17604.019238696437
Azerbaijan,AZE,1997,16797.435308901877
Azerbaijan,AZE,1998,17272.334256287173
Azerbaijan,AZE,1999,15922.771368262855
Azerbaijan,AZE,2000,16321.928905648158
Azerbaijan,AZE,2001,16409.528243663037
Azerbaijan,AZE,2002,16450.961935645733
Azerbaijan,AZE,2003,17172.751983823317
Azerbaijan,AZE,2004,17901.246307108933
Azerbaijan,AZE,2005,18607.542663417487
Azerbaijan,AZE,2006,18137.784510669393
Azerbaijan,AZE,2007,16416.41186183911
Azerbaijan,AZE,2008,17681.250880936583
Azerbaijan,AZE,2009,15516.352654108041
Azerbaijan,AZE,2010,14881.196671383363
Azerbaijan,AZE,2011,15925.552117598003
Azerbaijan,AZE,2012,17129.796656204566
Azerbaijan,AZE,2013,17142.659923470863
Azerbaijan,AZE,2014,17469.169098651448
Bahamas,BHS,1990,29278.137675121743
Bahamas,BHS,2004,23943.247986208917
Bahamas,BHS,2005,24584.67603546251
Bahamas,BHS,2006,24449.215376827557
Bahamas,BHS,2007,24087.045173050406
Bahrain,BHR,1971,74370.61721558515
Bahrain,BHR,1972,69448.23630293907
Bahrain,BHR,1973,98800.74087681144
Bahrain,BHR,1974,104775.39948632647
Bahrain,BHR,1975,93047.50483036507
Bahrain,BHR,1976,111465.68387183174
Bahrain,BHR,1977,95235.30515378912
Bahrain,BHR,1978,91229.45154618779
Bahrain,BHR,1979,102508.05588130617
Bahrain,BHR,1980,90653.45993753619
Bahrain,BHR,1981,96471.58363626646
Bahrain,BHR,1982,105496.01777432309
Bahrain,BHR,1983,98888.58863827834
Bahrain,BHR,1984,102729.21535163435
Bahrain,BHR,1985,115388.82666952768
Bahrain,BHR,1986,119340.55970028686
Bahrain,BHR,1987,110763.06178767991
Bahrain,BHR,1988,122039.37532512809
Bahrain,BHR,1989,119188.58363300045
Bahrain,BHR,1990,122757.79933095547
Bahrain,BHR,1991,117560.15526762302
Bahrain,BHR,1992,126042.76271442408
Bahrain,BHR,1993,129585.66235805576
Bahrain,BHR,1994,134390.88539051017
Bahrain,BHR,1995,132681.08109114956
Bahrain,BHR,1996,129205.47175582495
Bahrain,BHR,1997,141667.60395340616
Bahrain,BHR,1998,144290.04221918763
Bahrain,BHR,1999,137833.25436536295
Bahrain,BHR,2000,139428.8284026512
Bahrain,BHR,2001,136514.6379107422
Bahrain,BHR,2002,134309.62961199644
Bahrain,BHR,2003,134518.3982632838
Bahrain,BHR,2004,126708.41610752855
Bahrain,BHR,2005,135784.979598906
Bahrain,BHR,2006,134957.4194972109
Bahrain,BHR,2007,130653.99667532624
Bahrain,BHR,2008,131637.35922626275
Bahrain,BHR,2009,120249.55930192469
Bahrain,BHR,2010,118717.31268263534
Bahrain,BHR,2011,115274.19147299978
Bahrain,BHR,2012,112317.52395946217
Bahrain,BHR,2013,121147.26636769745
Bahrain,BHR,2014,123208.18677384015
Bangladesh,BGD,1971,995.512227190518
Bangladesh,BGD,1972,1010.406968633589
Bangladesh,BGD,1973,1075.6072809051125
Bangladesh,BGD,1974,1091.9902602039197
Bangladesh,BGD,1975,1097.181086766102
Bangladesh,BGD,1976,1139.9451479809295
Bangladesh,BGD,1977,1136.9445170198571
Bangladesh,BGD,1978,1143.8020826585757
Bangladesh,BGD,1979,1155.9819986870748
Bangladesh,BGD,1980,1199.4420425904475
Bangladesh,BGD,1981,1191.0808014756813
Bangladesh,BGD,1982,1224.7827461359038
Bangladesh,BGD,1983,1221.1051839813592
Bangladesh,BGD,1984,1206.179439261154
Bangladesh,BGD,1985,1241.7341533702886
Bangladesh,BGD,1986,1294.2414605077242
Bangladesh,BGD,1987,1240.4026229043106
Bangladesh,BGD,1988,1327.6374192462301
Bangladesh,BGD,1989,1358.381945920216
Bangladesh,BGD,1990,1395.071770670158
Bangladesh,BGD,1991,1343.0012895917507
Bangladesh,BGD,1992,1385.7581130262226
Bangladesh,BGD,1993,1431.2918499532373
Bangladesh,BGD,1994,1462.9085338815087
Bangladesh,BGD,1995,1557.7758593266267
Bangladesh,BGD,1996,1533.8885180211419
Bangladesh,BGD,1997,1568.930763595134
Bangladesh,BGD,1998,1602.0258613889164
Bangladesh,BGD,1999,1590.7999702177053
Bangladesh,BGD,2000,1614.1084568565786
Bangladesh,BGD,2001,1732.389835859626
Bangladesh,BGD,2002,1741.396095013209
Bangladesh,BGD,2003,1803.0312985057399
Bangladesh,BGD,2004,1806.661783863416
Bangladesh,BGD,2005,1848.2226071038758
Bangladesh,BGD,2006,1953.8561070151366
Bangladesh,BGD,2007,2016.722722840031
Bangladesh,BGD,2008,2093.026844770996
Bangladesh,BGD,2009,2177.8342931614975
Bangladesh,BGD,2010,2332.347930716021
Bangladesh,BGD,2011,2391.907434574463
Bangladesh,BGD,2012,2480.720268879678
Bangladesh,BGD,2013,2503.7408135233195
Bangladesh,BGD,2014,2584.429755428616
Barbados,BRB,1990,14382.097143339948
Barbados,BRB,2004,15969.95140813865
Barbados,BRB,2005,16553.10591987856
Barbados,BRB,2006,16829.39510396712
Barbados,BRB,2007,16888.031866739115
Belarus,BLR,1990,51932.31139267836
Belarus,BLR,1991,50572.681936433204
Belarus,BLR,1992,42109.11303249798
Belarus,BLR,1993,35782.02974606901
Belarus,BLR,1994,30421.048262442542
Belarus,BLR,1995,28233.795277614285
Belarus,BLR,1996,29090.686763779555
Belarus,BLR,1997,29140.1817989523
Belarus,BLR,1998,28681.500815373965
Belarus,BLR,1999,28046.546853024432
Belarus,BLR,2000,28637.840582948673
Belarus,BLR,2001,28907.122244146627
Belarus,BLR,2002,29657.76561322287
Belarus,BLR,2003,30746.085777026663
Belarus,BLR,2004,32014.587202494222
Belarus,BLR,2005,32201.3944948812
Belarus,BLR,2006,34487.34575099185
Belarus,BLR,2007,33935.25879271655
Belarus,BLR,2008,34100.361060602
Belarus,BLR,2009,32449.29725306137
Belarus,BLR,2010,33727.49176315086
Belarus,BLR,2011,36025.74654191854
Belarus,BLR,2012,37477.08500559198
Belarus,BLR,2013,33511.93056579244
Belarus,BLR,2014,34058.69011181682
Belgium,BEL,1960,29301.75382632789
Belgium,BEL,1961,29898.585696478203
Belgium,BEL,1962,32681.01115136165
Belgium,BEL,1963,35393.6603231296
Belgium,BEL,1964,35141.75707522401
Belgium,BEL,1965,36239.47033639291
Belgium,BEL,1966,35486.58909547606
Belgium,BEL,1967,37017.399810729425
Belgium,BEL,1968,41751.74952457468
Belgium,BEL,1969,45090.02595264046
Belgium,BEL,1970,48092.37332025343
Belgium,BEL,1971,47682.480367846656
Belgium,BEL,1972,52031.800233032
Belgium,BEL,1973,54902.71922309405
Belgium,BEL,1974,53701.508657170794
Belgium,BEL,1975,50217.59169855219
Belgium,BEL,1976,53756.57116300128
Belgium,BEL,1977,53376.16888825407
Belgium,BEL,1978,56132.95045273482
Belgium,BEL,1979,57879.91766160167
Belgium,BEL,1980,55165.9985605384
Belgium,BEL,1981,51350.62056407039
Belgium,BEL,1982,48942.03823888123
Belgium,BEL,1983,48337.27364360283
Belgium,BEL,1984,50414.91522390021
Belgium,BEL,1985,52033.35261284193
Belgium,BEL,1986,53892.489793215704
Belgium,BEL,1987,54982.99277707093
Belgium,BEL,1988,55486.12987069652
Belgium,BEL,1989,55811.51463060308
Belgium,BEL,1990,55938.756327014344
Belgium,BEL,1991,58219.83473413828
Belgium,BEL,1992,58622.99722214427
Belgium,BEL,1993,57013.399802171174
Belgium,BEL,1994,60315.35046897352
Belgium,BEL,1995,61263.00990124014
Belgium,BEL,1996,64389.16092698791
Belgium,BEL,1997,64237.830081684515
Belgium,BEL,1998,65164.753871603374
Belgium,BEL,1999,65275.871677074836
Belgium,BEL,2000,65934.63558492872
Belgium,BEL,2001,65525.926111424924
Belgium,BEL,2002,62694.07049890225
Belgium,BEL,2003,65012.00210039712
Belgium,BEL,2004,65046.45915891901
Belgium,BEL,2005,64611.811568263205
Belgium,BEL,2006,63621.819914337895
Belgium,BEL,2007,62068.88215364641
Belgium,BEL,2008,63437.779062561545
Belgium,BEL,2009,60436.24845864295
Belgium,BEL,2010,64424.061953161574
Belgium,BEL,2011,59172.81735528993
Belgium,BEL,2012,56245.095558635214
Belgium,BEL,2013,57998.82936562403
Belgium,BEL,2014,54756.61276412455
Belgium,BEL,2015,54518.9633832869
Belize,BLZ,1990,6586.521817949156
Belize,BLZ,2004,6529.235137944649
Belize,BLZ,2005,6609.890672380741
Belize,BLZ,2006,6880.070989554495
Belize,BLZ,2007,6937.3037495769195
Benin,BEN,1971,4317.346981695721
Benin,BEN,1972,4422.634776891716
Benin,BEN,1973,4416.163504540452
Benin,BEN,1974,4408.185415001267
Benin,BEN,1975,4429.356415372575
Benin,BEN,1976,4189.540465939466
Benin,BEN,1977,4228.917234294832
Benin,BEN,1978,4281.958175768139
Benin,BEN,1979,4241.0899990769685
Benin,BEN,1980,4231.761705493294
Benin,BEN,1981,4110.771940102526
Benin,BEN,1982,4136.412376257538
Benin,BEN,1983,4134.004775802868
Benin,BEN,1984,4116.2815845481855
Benin,BEN,1985,4193.333674574341
Benin,BEN,1986,4112.052933972624
Benin,BEN,1987,4048.8593252475066
Benin,BEN,1988,4031.2255427734513
Benin,BEN,1989,3930.852152772938
Benin,BEN,1990,3880.9097064655634
Benin,BEN,1991,3809.2881618192405
Benin,BEN,1992,3769.834088018631
Benin,BEN,1993,3725.71309380718
Benin,BEN,1994,3678.494130432496
Benin,BEN,1995,3637.41392430656
Benin,BEN,1996,4104.46172537137
Benin,BEN,1997,4131.421874131888
Benin,BEN,1998,3956.545496977324
Benin,BEN,1999,4007.254428131154
Benin,BEN,2000,3358.377025993928
Benin,BEN,2001,3465.213394372802
Benin,BEN,2002,3605.7620822124227
Benin,BEN,2003,3689.017371723235
Benin,BEN,2004,3737.3623484581376
Benin,BEN,2005,3641.4263629501756
Benin,BEN,2006,4173.990051717823
Benin,BEN,2007,4410.419602329612
Benin,BEN,2008,4382.878104146343
Benin,BEN,2009,4471.120706482695
Benin,BEN,2010,4618.695571023713
Benin,BEN,2011,4614.462870061119
Benin,BEN,2012,4648.279991283938
Benin,BEN,2013,4724.731420044941
Benin,BEN,2014,4847.334749918151
Bhutan,BTN,1990,1211.6375916468176
Bhutan,BTN,2004,3269.496877938162
Bhutan,BTN,2005,3613.1268474763156
Bhutan,BTN,2006,3650.4430044568157
Bhutan,BTN,2007,4130.849338678635
Bolivia,BOL,1971,2580.1025737780246
Bolivia,BOL,1972,2792.8117340625954
Bolivia,BOL,1973,2892.041229890364
Bolivia,BOL,1974,3031.795813607362
Bolivia,BOL,1975,3437.692484134872
Bolivia,BOL,1976,3684.147543484324
Bolivia,BOL,1977,3854.096318897782
Bolivia,BOL,1978,4086.894704655164
Bolivia,BOL,1979,4402.278107477193
Bolivia,BOL,1980,5086.164889101581
Bolivia,BOL,1981,5224.959026360225
Bolivia,BOL,1982,5377.4745106493665
Bolivia,BOL,1983,4994.365301109409
Bolivia,BOL,1984,4877.862755969276
Bolivia,BOL,1985,4718.30815979908
Bolivia,BOL,1986,4371.317010242999
Bolivia,BOL,1987,3970.493684811679
Bolivia,BOL,1988,4068.352358418377
Bolivia,BOL,1989,4249.864925808931
Bolivia,BOL,1990,4428.251580603025
Bolivia,BOL,1991,4475.977297744262
Bolivia,BOL,1992,4648.37354787571
Bolivia,BOL,1993,4872.511640024332
Bolivia,BOL,1994,5258.584447127393
Bolivia,BOL,1995,5785.967705400252
Bolivia,BOL,1996,6099.163649151672
Bolivia,BOL,1997,6522.268776390878
Bolivia,BOL,1998,6465.136418558398
Bolivia,BOL,1999,6231.92096703391
Bolivia,BOL,2000,6840.505274169518
Bolivia,BOL,2001,5224.110243486187
Bolivia,BOL,2002,6149.198306550823
Bolivia,BOL,2003,6279.063720004271
Bolivia,BOL,2004,6176.435901750505
Bolivia,BOL,2005,6620.0333015210645
Bolivia,BOL,2006,8144.624550834865
Bolivia,BOL,2007,6524.617130599934
Bolivia,BOL,2008,6824.725188036697
Bolivia,BOL,2009,6993.218901645991
Bolivia,BOL,2010,7495.518620134493
Bolivia,BOL,2011,7790.003474777551
Bolivia,BOL,2012,8815.516110746708
Bolivia,BOL,2013,8725.799928732577
Bolivia,BOL,2014,9173.794629488157
Bosnia and Herzegovina,BIH,1990,18285.217369094808
Bosnia and Herzegovina,BIH,1991,16804.428627210655
Bosnia and Herzegovina,BIH,1992,12205.402084944339
Bosnia and Herzegovina,BIH,1993,10544.557723717642
Bosnia and Herzegovina,BIH,1994,4226.52538381125
Bosnia and Herzegovina,BIH,1995,4520.995964317822
Bosnia and Herzegovina,BIH,1996,5369.05255506195
Bosnia and Herzegovina,BIH,1997,8350.809677779553
Bosnia and Herzegovina,BIH,1998,10384.374108948581
Bosnia and Herzegovina,BIH,1999,10252.440505991031
Bosnia and Herzegovina,BIH,2000,13419.325771642383
Bosnia and Herzegovina,BIH,2001,12952.475968396942
Bosnia and Herzegovina,BIH,2002,13571.834934889386
Bosnia and Herzegovina,BIH,2003,13537.213807406566
Bosnia and Herzegovina,BIH,2004,14791.394448503937
Bosnia and Herzegovina,BIH,2005,15500.321962274556
Bosnia and Herzegovina,BIH,2006,16309.047556428624
Bosnia and Herzegovina,BIH,2007,16345.129883412812
Bosnia and Herzegovina,BIH,2008,18421.911298201518
Bosnia and Herzegovina,BIH,2009,19300.14648099949
Bosnia and Herzegovina,BIH,2010,20251.513133502627
Bosnia and Herzegovina,BIH,2011,22528.005161479225
Bosnia and Herzegovina,BIH,2012,21307.832358423366
Bosnia and Herzegovina,BIH,2013,20821.106058559275
